dimension,metric_id,metric,score,message,metric_description,metric_type,metric_calculation,meta_metric_calculation,shape_name,shape_template,violations,violation_text,num_violations,vocab
Understandability,U1,"Human-readable labelling of classes, properties and entities as well as presence of metadata",0.3623188405797102,All entities should be tagged with a label.,Human readable labels in entities,count,1 - (Number of violations / Number of entities),,LabelForEntities,ex:LabelForEntitiesShape\n\ta sh:NodeShape;\n\tsh:targetSubjectsOf rdf:type;\n\tsh:or (\n\t\t[ sh:path rdf:type; sh:hasValue rdfs:Class; ]\n\t\t[ sh:path rdf:type; sh:hasValue rdf:Property; ]\n\t\t[ sh:path rdf:type; sh:hasValue owl:NamedIndividual; ]\n\t\t[ sh:path rdfs:label; sh:minCount 1; ]\n\t) .,http://example.org/pizza#badSeq; http://example.org/pizza#person_1; http://example.org/pizza?flavor=cheese&size=large; http://example.org/pizza#badBag; http://example.org/pizza/pizza?type=veggie; http://example.org/pizza#orphanPizza; http://example.org/pizza#missingObjectPizza; http://example.org/pizza#goodPricePizza; http://example.org/pizza#dateTimeInsteadOfDate; http://example.org/pizza#namelessPizza; http://example.org/pizza#wrongLangOnLiteralPizza; http://example.org/pizza#chefMario; http://example.org/pizza/this-uri-is-exactly-eighty-characters-long-for-testing-purposes-1234567; http://example.org/pizza#noslashPizza; http://example.org/pizza#emptyDescLangPizza; http://example.org/pizza#circular1; http://example.org/pizza#blankNodeInValue; http://example.org/pizza#myStore; http://example.org/pizza#linkedPizza; http://example.org/pizza#slashPizza; http://example.org/pizza#pizzaReUseTopping; http://example.org/pizza#duplicateTypesPizza; http://example.org/pizza#langTagDecimal; http://example.org/pizza#badLangDescription; http://example.org/pizza#mySpiceLevel; http://example.org/pizza#badPricePizza; http://example.org/pizza#multiTypePizza; http://example.org/pizza/simple-pizza; nfdaa60e4fee24583b1d2e427a84efeb6b2; http://example.org/pizza#externalLinkPizza; http://example.org/pizza?has=param; nfdaa60e4fee24583b1d2e427a84efeb6b4; http://example.org/pizza#multiLicensePizza; http://example.org/pizza#sciencePizza; http://example.org/pizza#missingRequiredProp; http://example.org/pizza/this-is-a-very-very-very-very-very-very-very-long-uri-for-pizza; http://example.org/pizza#wrongBooleanPizza; http://example.org/pizza#spicyPizza; http://example.org/pizza#customPizza_2; http://example.org/pizza#tooSpicyPizza; http://example.org/pizza#unlinkedPizza; http://example.org/pizza#circular2; http://example.org/pizza#disjointPizza; http://example.org/pizza#deprecatedPropPizza,,44,
Understandability,U3,Indication of a regular expression that matches the URIs of a dataset,0.8405797101449275,URIs should match the regex pattern provided in void:uriRegexPattern,Compliance of URIs in the dataset to the provided regular expression,count,1 - (Number of violations / Number of entities),,URIRegexComplianceEntities,"ex:URIRegexComplianceShape\n\ta sh:NodeShape ;\n\tsh:targetSubjectsOf rdf:type;\n\tsh:or (\n\t[sh:path rdf:type; sh:hasValue rdfs:Class;]\n\t[sh:path rdf:type; sh:hasValue rdf:Property;]\n\t[sh:path rdf:type; sh:hasValue owl:NamedIndividual;]\n\t[sh:pattern ""^URI_REGEX_PATTERN"";]\n\t[sh:pattern ""^URI_SPACE"";]\n\t).",nfdaa60e4fee24583b1d2e427a84efeb6b1; http://dbpedia.org/resource/dbpediaPizza; http://example.org/pizza/this-is-a-very-very-very-very-very-very-very-long-uri-for-pizza; http://example.org/pizza?has=param; http://example.org/pizza?flavor=cheese&size=large; http://example.org/pizza/this-uri-is-exactly-eighty-characters-long-for-testing-purposes-1234567; http://example.org/pizza/pizza?type=veggie; http://example.org/pizza/simple-pizza; nfdaa60e4fee24583b1d2e427a84efeb6b2; http://dbpedia.org/resource/dbpediaPizza_2; nfdaa60e4fee24583b1d2e427a84efeb6b4,,11,
Understandability,U3,Indication of a regular expression that matches the URIs of a dataset,0.8405797101449275,URIs should match the URI space provided in void:uriSpace,Compliance of URIs in the dataset to the provided URI namespace,count,1 - (Number of violations / Number of entities),,URISpaceComplianceEntities,"ex:URIRegexComplianceShape\n\ta sh:NodeShape ;\n\tsh:targetSubjectsOf rdf:type;\n\tsh:or (\n\t[sh:path rdf:type; sh:hasValue rdfs:Class;]\n\t[sh:path rdf:type; sh:hasValue rdf:Property;]\n\t[sh:path rdf:type; sh:hasValue owl:NamedIndividual;]\n\t[sh:pattern ""^URI_REGEX_PATTERN"";]\n\t[sh:pattern ""^URI_SPACE"";]\n\t).",nfdaa60e4fee24583b1d2e427a84efeb6b1; http://dbpedia.org/resource/dbpediaPizza; http://example.org/pizza/this-is-a-very-very-very-very-very-very-very-long-uri-for-pizza; http://example.org/pizza?has=param; http://example.org/pizza?flavor=cheese&size=large; http://example.org/pizza/this-uri-is-exactly-eighty-characters-long-for-testing-purposes-1234567; http://example.org/pizza/pizza?type=veggie; http://example.org/pizza/simple-pizza; nfdaa60e4fee24583b1d2e427a84efeb6b2; http://dbpedia.org/resource/dbpediaPizza_2; nfdaa60e4fee24583b1d2e427a84efeb6b4,,11,
Representational Conciseness,RC1,Keeping URIs short,0.9565217391304348,URIs shouldn't use parameters,Verifies that URIs in the dataset don't contain parameters,count,1 - (Number of violations / Number of entities),,URIsParametersEntities,"ex:URIsParametersShape\n\ta sh:NodeShape ;\n\tsh:targetSubjectsOf rdf:type;\n\tsh:or (\n\t[sh:path rdf:type; sh:hasValue rdfs:Class;]\n\t[sh:path rdf:type; sh:hasValue rdf:Property;]\n\t[sh:path rdf:type; sh:hasValue owl:NamedIndividual;]\n\t[sh:not [ sh:pattern ""\\?.+=.*"" ; ] ;]\n\t).",http://example.org/pizza/pizza?type=veggie; http://example.org/pizza?flavor=cheese&size=large; http://example.org/pizza?has=param,,3,
Representational Conciseness,RC1,Keeping URIs short,0.927536231884058,URIs should have a length of less than 80,Verifies that URIs in the dataset have a length of at most 80 characters,count,1 - (Number of violations / Number of entities),,URIsLengthEntities,ex:URIsLengthShape\n\ta sh:NodeShape ;\n\tsh:targetSubjectsOf rdf:type;\n\tsh:or (\n\t[sh:path rdf:type; sh:hasValue rdfs:Class;]\n\t[sh:path rdf:type; sh:hasValue rdf:Property;]\n\t[sh:path rdf:type; sh:hasValue owl:NamedIndividual;]\n\t[sh:maxLength LENGTH_VALUE;]\n\t).,nfdaa60e4fee24583b1d2e427a84efeb6b1; http://example.org/pizza/this-is-a-very-very-very-very-very-very-very-long-uri-for-pizza; http://example.org/pizza/this-uri-is-exactly-eighty-characters-long-for-testing-purposes-1234567; nfdaa60e4fee24583b1d2e427a84efeb6b2; nfdaa60e4fee24583b1d2e427a84efeb6b4,,5,
Representational Conciseness,RC2,No use of prolix RDF features.,0.9710144927536232,"Prolix features shouldn't be used (Lists, Containers)","Verifies there's no usage of RDF prolix features, such as RDF reification, containers and collections.",count,1 - (Number of violations / Number of entities),,ProlixFeatures,ex:ProlixRDFFeaturesShape\n\ta sh:NodeShape ;\n\tsh:targetSubjectsOf rdf:type;\n\tsh:or (\n\t[sh:path rdf:type; sh:hasValue rdfs:Class;]\n\t[sh:path rdf:type; sh:hasValue rdf:Property;]\n\t[sh:path rdf:type; sh:hasValue owl:NamedIndividual;]\n\t[\n\tsh:not [\n\tsh:or (\n\t[ sh:class rdf:Statement ]\n\t[ sh:class rdf:List ]\n\t[ sh:class rdf:Seq ]\n\t[ sh:class rdf:Bag ]\n\t[ sh:class rdf:Alt ]\n\t)\n\t];\n\t]\n\t).,http://example.org/pizza#badBag; http://example.org/pizza#badSeq,,2,
Versatility,V2,Checking whether the data is available in different languages,0.6,Entities should provide labels with language tags,Verifies if entity's labels contain language tags.,count,1 - (Number of violations / Number of entities with labels),,DifferentLanguagesLabelsEntities,ex:DifferentLanguagesLabelsShape\n\ta sh:NodeShape ;\n\tsh:targetSubjectsOf rdfs:label;\n\tsh:property [\n\tsh:path rdfs:label;\n\tsh:datatype rdf:langString;\n\t].,http://example.org/pizza#classicOldPizza2; http://example.org/pizza#noLangLabel; http://dbpedia.org/resource/dbpediaPizza; http://example.org/pizza#customPizza; http://example.org/pizza#multiLabelPizza; http://example.org/pizza#multiLangLabelPizza; http://example.org/pizza#ingredient; http://example.org/pizza#weirdLangPizza; http://example.org/pizza#labelNoLang; http://dbpedia.org/resource/dbpediaPizza_2,,10,
Versatility,V2,Checking whether the data is available in different languages,0.5,Entities should provide descriptions with language tags,Verifies if entity's descriptions contain language tags.,count,1 - (Number of violations / Number of entities with descriptions),,DifferentLanguagesDescriptionsEntities,ex:DifferentLanguagesDescriptionsShape\n\ta sh:NodeShape ;\n\tsh:targetSubjectsOf rdfs:comment;\n\tsh:property [\n\tsh:path rdfs:comment;\n\tsh:datatype rdf:langString;\n\t].,http://example.org/pizza#badLangDescription,,1,
Interpretability,ITP1,Use of self-descriptive formats,0.9565217391304348,Entities should be identified by URIs,Verifies if entities in the dataset are identified with URIs.,count,1 - (Number of violations / Number of entities),,SelfDescriptiveFormat,ex:SelfDescriptiveFormatEntitiesShape\n\ta sh:NodeShape ;\n\tsh:targetSubjectsOf rdf:type;\n\tsh:or (\n\t[sh:path rdf:type; sh:hasValue rdfs:Class;]\n\t[sh:path rdf:type; sh:hasValue rdf:Property;]\n\t[sh:path rdf:type; sh:hasValue owl:NamedIndividual\n;]\n\t[ sh:nodeKind sh:IRI; ]\n\t).,nfdaa60e4fee24583b1d2e427a84efeb6b2; nfdaa60e4fee24583b1d2e427a84efeb6b4; nfdaa60e4fee24583b1d2e427a84efeb6b1,,3,
Interpretability,ITP4,No misinterpretation of missing values,0.9565217391304348,The dataset should not use blank nodes to identify entities,Verifies that blank nodes aren't used to represent entities in the dataset.,count,1 - (Number of violations / Number of entities),,BlankNodesUsageEntities,ex:BlankNodesUsageEntitiesShape\n\ta sh:NodeShape ;\n\tsh:targetSubjectsOf rdf:type;\n\tsh:or (\n\t[sh:path rdf:type; sh:hasValue rdfs:Class;]\n\t[sh:path rdf:type; sh:hasValue rdf:Property;]\n\t[sh:path rdf:type; sh:hasValue owl:NamedIndividual;]\n\t[ sh:not [ sh:nodeKind sh:BlankNode ]; ]\n\t).,nfdaa60e4fee24583b1d2e427a84efeb6b2; nfdaa60e4fee24583b1d2e427a84efeb6b4; nfdaa60e4fee24583b1d2e427a84efeb6b1,,3,
Completeness,C4,Interlinking completeness,0.08695652173913049,Entities should be interlinked.,Verifies that entities in the dataset are interlinked.,count,1 - (Number of violations / Number of entities),,InterlinkingCompleteness,ex:InterlinkingCompletenessShape\n\ta sh:NodeShape ;\n\tsh:targetSubjectsOf rdf:type;\n\tsh:or (\n\t[ sh:path rdf:type; sh:hasValue rdfs:Class; ]\n\t[ sh:path rdf:type; sh:hasValue rdf:Property; ]\n\t[ sh:path rdf:type; sh:hasValue owl:NamedIndividual; ]\n\t[ sh:path owl:sameAs; sh:minCount 1; ]\n\t).,http://example.org/pizza#classicOldPizza2; http://example.org/pizza#customPizza_3; nfdaa60e4fee24583b1d2e427a84efeb6b1; http://example.org/pizza#badSeq; http://example.org/pizza#person_1; http://example.org/pizza?flavor=cheese&size=large; http://example.org/pizza#badBag; http://example.org/pizza#noTypeEntity; http://example.org/pizza#ingredient; http://example.org/pizza/pizza?type=veggie; http://example.org/pizza#orphanPizza; http://example.org/pizza#missingObjectPizza; http://example.org/pizza#goodPricePizza; http://example.org/pizza#dateTimeInsteadOfDate; http://example.org/pizza#labelNoLang; http://example.org/pizza#noLangLabel; http://example.org/pizza#classicPizza; http://example.org/pizza#noInterlink; http://example.org/pizza#wrongLangOnLiteralPizza; http://example.org/pizza#meatLoversPizza; http://example.org/pizza#namelessPizza; http://dbpedia.org/resource/dbpediaPizza; http://example.org/pizza#chefMario; http://example.org/pizza#multiLabelPizza; http://example.org/pizza/this-uri-is-exactly-eighty-characters-long-for-testing-purposes-1234567; http://example.org/pizza#labelWhitespacePizza; http://example.org/pizza#mozzarellaTopping; http://example.org/pizza#englishLabelPizza; http://example.org/pizza#emptyDescLangPizza; http://example.org/pizza#confusedPizza; http://example.org/pizza#veggiePizza; http://example.org/pizza#emptyLabelPizza; http://example.org/pizza#blankNodeInValue; http://example.org/pizza#myStore; http://example.org/pizza#classicOldPizza1; http://example.org/pizza#multiLangLabelPizza; http://example.org/pizza#pizzaReUseTopping; http://example.org/pizza#duplicateTypesPizza; http://example.org/pizza#langTagDecimal; http://example.org/pizza#hawaiianPizza; http://example.org/pizza#mySpiceLevel; http://example.org/pizza#badLangDescription; http://example.org/pizza#weirdLangPizza; http://example.org/pizza#badPricePizza; http://example.org/pizza#multiTypePizza; http://example.org/pizza/simple-pizza; nfdaa60e4fee24583b1d2e427a84efeb6b2; http://dbpedia.org/resource/dbpediaPizza_2; nfdaa60e4fee24583b1d2e427a84efeb6b4; http://example.org/pizza?has=param; http://example.org/pizza#multiLicensePizza; http://example.org/pizza#disjointPizza; http://example.org/pizza#sciencePizza; http://example.org/pizza#missingRequiredProp; http://example.org/pizza/this-is-a-very-very-very-very-very-very-very-long-uri-for-pizza; http://example.org/pizza#customPizza; http://example.org/pizza#wrongBooleanPizza; http://example.org/pizza#spicyPizza; http://example.org/pizza#customPizza_2; http://example.org/pizza#tooSpicyPizza; http://example.org/pizza#unlinkedPizza; http://example.org/pizza#tomatoTopping; http://example.org/pizza#deprecatedPropPizza,,63,
Consistency,CN5,Valid usage of inverse-functional properties,0,,Verifies the correct usage of inverse-functional properties.,binary,"1 if the inverse functional property is correctly used, 0 otherwise",Number of inverse-functional properties correctly used / Number of inverse-functional properties,InverseFunctionalPropertyUniqueness_83,ex:InverseFunctionalPropertyShape\n\ta sh:NodeShape ;\n\tsh:targetObjectsOf PROPERTY_URI;\n\tsh:property [\n\t\tsh:path [ sh:inversePath PROPERTY_URI ]; sh:maxCount 1;\n\t].,(http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping); http://example.org/pizza#tomatoTopping ),,1,
Consistency,CN4,Members of owl:DeprecatedClass or owl:DeprecatedProperty not used,0,,Verifies that deprecated classes aren't used,binary,"1 if no deprecated classes are used, 0 otherwise",,DeprecatedClasses,ex:DeprecatedClassesShape\n\ta sh:NodeShape ;\n\tsh:targetSubjectsOf rdf:type;\n\tsh:or (\n\t\t[sh:path rdf:type; sh:hasValue rdfs:Class;]\n\t\t[sh:path rdf:type; sh:hasValue rdf:Property;]\n\t\t[sh:path rdf:type; sh:hasValue owl:\n\t\tNamedIndividual;]\n\t\t[\n\t\tsh:path rdf:type;\n\t\tsh:not [ sh:in (CLASSES_LIST); ];\n\t\t]\n\t).,http://example.org/pizza#meatLoversPizza;http://example.org/pizza#classicOldPizza1;http://example.org/pizza#classicOldPizza2,,3,
Consistency,CN2,No misplaced classes or properties,0.9615384615384616,1 properties are used as classes,Verifies that properties aren't used as classes,binary,"0 if property is used as a class, 1 otherwise.",Number of correctly used properties / Number of properties defined in vocabularies,MisplacedPropertiesShape,ex:MisplacedPropertiesShape\n\ta sh:NodeShape ;\n\tsh:targetNode PROPERTY_URI;\n\tsh:property [\n\tsh:path [sh:inversePath rdf:type];\n\tsh:maxCount 0;\n\t].,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasIngredient,properties used as a classes,1,
Consistency,CN2,No misplaced classes or properties,0.9801980198019802,2 classes are used as properties,Verifies that classes aren't used as properties,binary,"0 if property is used as a class, 1 otherwise.",Number of correctly used classes / Number of classes defined in vocabularies,MisplacedClassesShape,ex:MisplacedClassesShape\n\ta sh:NodeShape ;\n\tsh:targetSubjectsOf rdf:type;\n\tsh:or (\n\t[sh:path rdf:type; sh:hasValue rdfs:Class;]\n\t[sh:path rdf:type; sh:hasValue rdf:Property;]\n\t[sh:path rdf:type; sh:hasValue owl:NamedIndividual;]\n\t[\n\tsh:path CLASS_URI;\n\tsh:maxCount 0;\n\t]\n\t).,http://www.co-ode.org/ontologies/pizza/pizza.owl#NonVegetarianPizza; http://www.co-ode.org/ontologies/pizza/pizza.owl#Store,classes used as a property,2,
